score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho,net_vs_rvol
rvol_only,純 RVOL baseline (對照),liq_50m,20,top,0.009788413772158734,0.08670886759802328,53.605962933118455,6.109130478450506,4964,0.004617616391464385,0.0035,-0.002382383608535615,0.9636363636363635,0.0
rvol_only,純 RVOL baseline (對照),liq_50m,60,top,0.009328175033183205,0.08682491398826979,54.752233956133225,6.092610069008428,4924,0.004560679026108655,0.0025,-0.00043932097389134516,0.6363636363636362,0.0
rvol_only,純 RVOL baseline (對照),liq_50m,60,top,0.009328175033183205,0.08682491398826979,54.752233956133225,6.092610069008428,4924,0.004560679026108655,0.0035,-0.002439320973891345,0.6363636363636362,0.0
mom_only_5d,純動量 5d baseline (對照),liq_50m,10,top,-0.013595550189755319,-0.09488148360389162,48.009650180940895,-6.6916675619889405,4974,0.0035145520241471927,0.0025,-0.0014854479758528074,0.17575757575757575,-0.0006478543392664593
mom_only_5d,純動量 5d baseline (對照),liq_50m,10,top,-0.013595550189755319,-0.09488148360389162,48.009650180940895,-6.6916675619889405,4974,0.0035145520241471927,0.0035,-0.0034854479758528074,0.17575757575757575,-0.0006478543392664593
mom_only_5d,純動量 5d baseline (對照),liq_50m,20,top,-0.00621325677661883,-0.04315761093641415,49.05318291700242,-3.0406979545742234,4964,0.005236704006017478,0.0025,0.0002367040060174781,0.35757575757575755,0.0006190876145530932
mom_only_5d,純動量 5d baseline (對照),liq_50m,20,top,-0.00621325677661883,-0.04315761093641415,49.05318291700242,-3.0406979545742234,4964,0.005236704006017478,0.0035,-0.001763295993982522,0.35757575757575755,0.0006190876145530932
mom_only_5d,純動量 5d baseline (對照),liq_50m,60,top,0.001448625086741822,0.010552224211719868,51.92932575142161,0.7404624379062993,4924,0.01003046345630565,0.0025,0.005030463456305649,0.6121212121212121,0.0054697844301969945
mom_only_5d,純動量 5d baseline (對照),liq_50m,60,top,0.001448625086741822,0.010552224211719868,51.92932575142161,0.7404624379062993,4924,0.01003046345630565,0.0035,0.0030304634563056492,0.6121212121212121,0.0054697844301969945
mom_only_20d,純動量 20d baseline (對照),liq_50m,10,top,-0.012920650771644553,-0.0828701143484753,48.642670420269454,-5.843959099158666,4973,0.005994321331785856,0.0025,0.000994321331785856,0.8666666666666665,0.001831914968372204
mom_only_20d,純動量 20d baseline (對照),liq_50m,10,top,-0.012920650771644553,-0.0828701143484753,48.642670420269454,-5.843959099158666,4973,0.005994321331785856,0.0035,-0.001005678668214144,0.8666666666666665,0.001831914968372204
mom_only_20d,純動量 20d baseline (對照),liq_50m,20,top,-0.01562264391371097,-0.10684256081233999,46.2018940157163,-7.526904854656934,4963,0.0066401745033869575,0.0025,0.0016401745033869574,0.6363636363636362,0.0020225581119225726
mom_only_20d,純動量 20d baseline (對照),liq_50m,20,top,-0.01562264391371097,-0.10684256081233999,46.2018940157163,-7.526904854656934,4963,0.0066401745033869575,0.0035,-0.0003598254966130426,0.6363636363636362,0.0020225581119225726
mom_only_20d,純動量 20d baseline (對照),liq_50m,60,top,-0.00029262076413072365,-0.001970751962993809,52.52894576477758,-0.1382760247626,4923,0.020700699462911278,0.0025,0.015700699462911277,0.9030303030303028,0.016140020436802623
mom_only_20d,純動量 20d baseline (對照),liq_50m,60,top,-0.00029262076413072365,-0.001970751962993809,52.52894576477758,-0.1382760247626,4923,0.020700699462911278,0.0035,0.013700699462911279,0.9030303030303028,0.016140020436802623
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_100m,10,top,-0.013401022450917259,-0.12120420941227425,43.928427824688384,-8.548119671975325,4974,0.001273455111419088,0.0025,-0.003726544888580912,0.2121212121212121,-0.0024174972989810493
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_100m,10,top,-0.013401022450917259,-0.12120420941227425,43.928427824688384,-8.548119671975325,4974,0.001273455111419088,0.0035,-0.005726544888580912,0.2121212121212121,-0.0024174972989810493
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_100m,20,top,-0.016489283731767036,-0.14710507954354202,42.60676873489121,-10.364385441412756,4964,-0.00016157753558237314,0.0025,-0.005161577535582373,0.16363636363636364,-0.003653688390994971
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_100m,20,top,-0.016489283731767036,-0.14710507954354202,42.60676873489121,-10.364385441412756,4964,-0.00016157753558237314,0.0035,-0.007161577535582373,0.16363636363636364,-0.003653688390994971
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_100m,60,top,-0.020009874295739766,-0.18133639034188326,41.348497156783104,-12.724595590429985,4924,-0.0022922361506360137,0.0025,-0.007292236150636014,-0.01818181818181818,-0.00469000418001269
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),liq_100m,60,top,-0.020009874295739766,-0.18133639034188326,41.348497156783104,-12.724595590429985,4924,-0.0022922361506360137,0.0035,-0.009292236150636013,-0.01818181818181818,-0.004690004180012689
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,liq_100m,10,top,-0.01401940339388873,-0.12509137835824855,44.893445918777644,-8.822268445326504,4974,0.0011012163020740354,0.0025,-0.0038987836979259647,-0.11515151515151514,-0.002589736108326102
