stop_mult,be_mult,stop_ceil,ma20_mult,train_sharpe,train_mean,train_rank,test_sharpe,test_mean,test_rank,train_start,test_start,note
4.5,1.5,0.16,1.2,0.1239834142793501,0.010048232200604261,1.0,-0.10604994553258108,-0.009115469907632965,461.0,2019-04-03,2019-06-28,train_top5
4.5,1.5,0.16,1.5,0.1239834142793501,0.010048232200604261,1.0,-0.10604994553258108,-0.009115469907632965,461.0,2019-04-03,2019-06-28,train_top5
4.5,1.5,0.16,1.8,0.1239834142793501,0.010048232200604261,1.0,-0.10604994553258108,-0.009115469907632965,461.0,2019-04-03,2019-06-28,train_top5
4.5,2.0,0.16,1.0,0.1239834142793501,0.010048232200604261,1.0,-0.10604994553258108,-0.009115469907632965,461.0,2019-04-03,2019-06-28,train_top5
3.0,3.0,0.14,1.2,0.09263857495208072,0.007548861620620708,281.0,-0.06732960546693359,-0.005537384577940533,181.0,2019-04-03,2019-06-28,baseline
2.0,1.5,0.14,1.0,0.18103527579750062,0.01457662786619519,1.0,0.2594122307087068,0.021312758803624543,181.0,2019-05-03,2019-07-26,train_top5
2.0,1.5,0.14,1.2,0.18103527579750062,0.01457662786619519,1.0,0.2594122307087068,0.021312758803624543,181.0,2019-05-03,2019-07-26,train_top5
2.0,1.5,0.14,1.5,0.18103527579750062,0.01457662786619519,1.0,0.2594122307087068,0.021312758803624543,181.0,2019-05-03,2019-07-26,train_top5
2.0,1.5,0.14,1.8,0.18103527579750062,0.01457662786619519,1.0,0.2594122307087068,0.021312758803624543,181.0,2019-05-03,2019-07-26,train_top5
2.0,1.5,0.16,1.0,0.18103527579750062,0.01457662786619519,1.0,0.2594122307087068,0.021312758803624543,181.0,2019-05-03,2019-07-26,train_top5
3.0,3.0,0.14,1.2,0.14136105251179434,0.011921183963466244,281.0,0.2432499457760592,0.02058803349185155,281.0,2019-05-03,2019-07-26,baseline
4.5,1.5,0.16,1.0,0.3289231913128985,0.027748058295053182,1.0,0.6809603296740118,0.06027222118008809,181.0,2019-05-31,2019-08-23,train_top5
4.5,1.5,0.16,1.2,0.3289231913128985,0.027748058295053182,1.0,0.6809603296740118,0.06027222118008809,181.0,2019-05-31,2019-08-23,train_top5
4.5,1.5,0.16,1.5,0.3289231913128985,0.027748058295053182,1.0,0.6809603296740118,0.06027222118008809,181.0,2019-05-31,2019-08-23,train_top5
4.5,1.5,0.16,1.8,0.3289231913128985,0.027748058295053182,1.0,0.6809603296740118,0.06027222118008809,181.0,2019-05-31,2019-08-23,train_top5
4.5,2.0,0.16,1.0,0.3289231913128985,0.027748058295053182,1.0,0.6809603296740118,0.06027222118008809,181.0,2019-05-31,2019-08-23,train_top5
3.0,3.0,0.14,1.2,0.304680945930096,0.025889531679804505,261.0,0.6984599136855982,0.06094292271933598,1.0,2019-05-31,2019-08-23,baseline
4.0,1.5,0.16,1.0,0.2650089156366118,0.02326950450925581,1.0,0.8501439715840107,0.07429596100404506,221.0,2019-06-28,2019-09-20,train_top5
4.0,1.5,0.16,1.2,0.2650089156366118,0.02326950450925581,1.0,0.8501439715840107,0.07429596100404506,221.0,2019-06-28,2019-09-20,train_top5
4.0,1.5,0.16,1.5,0.2650089156366118,0.02326950450925581,1.0,0.8501439715840107,0.07429596100404506,221.0,2019-06-28,2019-09-20,train_top5
4.0,1.5,0.16,1.8,0.2650089156366118,0.02326950450925581,1.0,0.8501439715840107,0.07429596100404506,221.0,2019-06-28,2019-09-20,train_top5
4.0,2.0,0.16,1.0,0.2650089156366118,0.02326950450925581,1.0,0.8501439715840107,0.07429596100404506,221.0,2019-06-28,2019-09-20,train_top5
3.0,3.0,0.14,1.2,0.24719159078141936,0.02194244646236667,221.0,0.8789831443319639,0.07511600749183782,21.0,2019-06-28,2019-09-20,baseline
4.5,1.5,0.16,1.0,0.6660585617161656,0.05707571682206692,1.0,-0.2231865788868186,-0.012010086520916811,1.0,2019-07-26,2019-10-18,train_top5
4.5,1.5,0.16,1.2,0.6660585617161656,0.05707571682206692,1.0,-0.2231865788868186,-0.012010086520916811,1.0,2019-07-26,2019-10-18,train_top5
4.5,1.5,0.16,1.5,0.6660585617161656,0.05707571682206692,1.0,-0.2231865788868186,-0.012010086520916811,1.0,2019-07-26,2019-10-18,train_top5
4.5,1.5,0.16,1.8,0.6660585617161656,0.05707571682206692,1.0,-0.2231865788868186,-0.012010086520916811,1.0,2019-07-26,2019-10-18,train_top5
4.5,2.0,0.16,1.0,0.6660585617161656,0.05707571682206692,1.0,-0.2231865788868186,-0.012010086520916811,1.0,2019-07-26,2019-10-18,train_top5
3.0,3.0,0.14,1.2,0.6176261750829587,0.05483481392945824,201.0,-0.35842701807602534,-0.02100262719834322,341.0,2019-07-26,2019-10-18,baseline
4.5,1.5,0.16,1.0,0.42149457441793114,0.035731795108514736,1.0,0.25882807182799006,0.01988058272070034,281.0,2019-08-23,2019-11-15,train_top5
4.5,1.5,0.16,1.2,0.42149457441793114,0.035731795108514736,1.0,0.25882807182799006,0.01988058272070034,281.0,2019-08-23,2019-11-15,train_top5
4.5,1.5,0.16,1.5,0.42149457441793114,0.035731795108514736,1.0,0.25882807182799006,0.01988058272070034,281.0,2019-08-23,2019-11-15,train_top5
4.5,1.5,0.16,1.8,0.42149457441793114,0.035731795108514736,1.0,0.25882807182799006,0.01988058272070034,281.0,2019-08-23,2019-11-15,train_top5
4.5,2.0,0.16,1.0,0.42149457441793114,0.035731795108514736,1.0,0.25882807182799006,0.01988058272070034,281.0,2019-08-23,2019-11-15,train_top5
3.0,3.0,0.14,1.2,0.3625839447778448,0.031995068571879615,221.0,0.25386297087396226,0.019560474359319204,361.0,2019-08-23,2019-11-15,baseline
4.5,1.5,0.16,1.0,0.30903957940056453,0.024744904338906356,1.0,-0.09033472052829343,-0.006935564413300117,1.0,2019-09-20,2019-12-13,train_top5
4.5,1.5,0.16,1.2,0.30903957940056453,0.024744904338906356,1.0,-0.09033472052829343,-0.006935564413300117,1.0,2019-09-20,2019-12-13,train_top5
4.5,1.5,0.16,1.5,0.30903957940056453,0.024744904338906356,1.0,-0.09033472052829343,-0.006935564413300117,1.0,2019-09-20,2019-12-13,train_top5
4.5,1.5,0.16,1.8,0.30903957940056453,0.024744904338906356,1.0,-0.09033472052829343,-0.006935564413300117,1.0,2019-09-20,2019-12-13,train_top5
4.5,2.0,0.16,1.0,0.30903957940056453,0.024744904338906356,1.0,-0.09033472052829343,-0.006935564413300117,1.0,2019-09-20,2019-12-13,train_top5
3.0,3.0,0.14,1.2,0.26143454338565786,0.021644727980790805,401.0,-0.19498602375378976,-0.01514921971387482,201.0,2019-09-20,2019-12-13,baseline
4.5,1.5,0.16,1.0,0.03430111977214564,0.002469000660830568,1.0,-0.7794922362564185,-0.05114295756154554,241.0,2019-10-18,2020-01-10,train_top5
4.5,1.5,0.16,1.2,0.03430111977214564,0.002469000660830568,1.0,-0.7794922362564185,-0.05114295756154554,241.0,2019-10-18,2020-01-10,train_top5
4.5,1.5,0.16,1.5,0.03430111977214564,0.002469000660830568,1.0,-0.7794922362564185,-0.05114295756154554,241.0,2019-10-18,2020-01-10,train_top5
4.5,1.5,0.16,1.8,0.03430111977214564,0.002469000660830568,1.0,-0.7794922362564185,-0.05114295756154554,241.0,2019-10-18,2020-01-10,train_top5
