tp1,tp2,tp3,tp_scale_floor,tp_scale_ceil,n,realized_mean,realized_std,realized_sharpe,win_rate,sl_trigger_rate,tp1_trigger_rate,tp2_trigger_rate,tp3_trigger_rate,avg_holding_ret_no_tp,rr_median
0.08,0.22,0.3,0.9,1.8,12797,0.02412596638031801,0.15080400405900218,0.15998226659073791,0.4710479018519966,0.46346800031257324,0.4243181995780261,0.1598812221614441,0.0913495350472767,-0.002856244845184642,1.2444815702232335
0.08,0.22,0.3,0.5,2.0,12797,0.025009190779622034,0.1533184215723236,0.16311928157846747,0.4713604751113542,0.46346800031257324,0.4271313589122451,0.1554270532155974,0.08689536610143002,-0.004434649521227956,1.2444815702232335
0.08,0.22,0.3,0.7,2.0,12797,0.02505415698645729,0.15335223399486558,0.16337653735971092,0.4708134719074783,0.46346800031257324,0.4233023364851137,0.15456747675236385,0.08666093615691178,-0.003310493970360255,1.2444815702232335
0.08,0.22,0.3,0.9,2.0,12797,0.025206948751918475,0.15350386498265414,0.16421051518648633,0.4702664687036024,0.46346800031257324,0.4189263108541064,0.15198874736266313,0.08548878643432055,-0.00195018239873129,1.2444815702232335
0.08,0.22,0.4,0.5,1.2,12797,0.018509218305001462,0.1388387615233634,0.13331448726504797,0.47643979057591623,0.46346800031257324,0.46659373290614986,0.23997811987184497,0.08814565913886067,-0.014401961765961964,1.2444815702232335
0.08,0.22,0.4,0.7,1.2,12797,0.018545610978534747,0.13887579904258046,0.13354098486841837,0.4758927873720403,0.46346800031257324,0.4627647104790185,0.23911854340861138,0.08767679924982417,-0.012159059548589861,1.2444815702232335
0.08,0.22,0.4,0.9,1.2,12797,0.01866581649483322,0.13902550371872283,0.13426181524648892,0.4753457841681644,0.46346800031257324,0.45838868484801126,0.2365398140189107,0.08681722278659061,-0.00961627096090741,1.2444815702232335
0.08,0.22,0.4,0.5,1.4,12797,0.021592129526210757,0.14527937993772544,0.1486248739185582,0.4741736344455732,0.46346800031257324,0.45284050949441274,0.2032507618973197,0.06751582402125499,-0.011125973283668161,1.2444815702232335
0.08,0.22,0.4,0.7,1.4,12797,0.021628522199744045,0.14531400380796267,0.14883990278271367,0.4736266312416973,0.46346800031257324,0.4490114870672814,0.2023911854340861,0.06704696413221849,-0.009378851625126314,1.2444815702232335
0.08,0.22,0.4,0.9,1.4,12797,0.021748727716042523,0.145454534688197,0.14952251411524634,0.4730796280378214,0.46346800031257324,0.44463546143627414,0.1998124560443854,0.06618738766898492,-0.007349007285017051,1.2444815702232335
0.08,0.22,0.4,0.5,1.6,12797,0.023884349891638155,0.1504687770760867,0.15873293021821192,0.4729233414081425,0.46346800031257324,0.441978588731734,0.17972962413065563,0.05712276314761272,-0.008935432458064038,1.2444815702232335
