scheme,week,ret,n_picks,overlap_jaccard
S0_LIVE,2024-09-06,0.07531596820797787,50,0.8181818181818182
S0_LIVE,2024-09-13,0.040930791196859245,50,0.6666666666666666
S0_LIVE,2024-09-20,0.01839636915858242,50,0.8867924528301887
S0_LIVE,2024-09-27,0.022275438632625003,50,0.8181818181818182
S0_LIVE,2024-10-04,0.04079908424705805,50,0.35135135135135137
S0_LIVE,2024-10-11,0.03263706724267204,50,0.7543859649122807
S0_LIVE,2024-10-18,-0.0263784831576581,50,0.9230769230769231
S0_LIVE,2024-10-25,-0.016980102628016972,50,0.9607843137254902
S0_LIVE,2024-11-01,0.01299474505311224,50,0.9230769230769231
S0_LIVE,2024-11-08,0.022245685638510943,50,0.8518518518518519
S0_LIVE,2024-11-15,0.0942813786809133,50,0.7543859649122807
S0_LIVE,2024-11-22,0.06345705102718698,50,0.8867924528301887
S0_LIVE,2024-11-29,0.05860249442624402,50,0.9607843137254902
S0_LIVE,2024-12-06,-0.039477407262271266,50,0.7857142857142857
S0_LIVE,2024-12-13,-0.018102078788671178,50,0.7543859649122807
S0_LIVE,2024-12-20,-0.035898781794623254,50,0.9230769230769231
S0_LIVE,2024-12-27,-0.19212560021511393,50,0.9607843137254902
S0_LIVE,2025-01-03,-0.17700585537975932,50,0.4925373134328358
S0_LIVE,2025-01-10,-0.13269054872104372,50,0.639344262295082
S0_LIVE,2025-01-17,-0.11139593575149064,50,0.8518518518518519
S0_LIVE,2025-01-22,-0.0934700599858052,50,0.9230769230769231
S0_LIVE,2025-02-07,-0.10057016850252384,50,0.9230769230769231
S0_LIVE,2025-02-14,-0.05383646098110897,50,0.7241379310344828
S0_LIVE,2025-02-21,-0.08625559201691212,50,0.8518518518518519
S0_LIVE,2025-02-27,-0.11010265601401611,50,0.8181818181818182
S0_LIVE,2025-03-07,-0.0832335308713661,50,0.8181818181818182
S0_LIVE,2025-03-14,-0.0336366546091879,50,0.639344262295082
S0_LIVE,2025-03-21,-0.06502132268678013,50,0.9607843137254902
S0_LIVE,2025-03-28,0.0063986437028707875,50,0.8867924528301887
S0_LIVE,2025-04-02,0.04247803930339869,50,0.4492753623188406
S0_LIVE,2025-04-11,0.20644843756319317,50,0.7241379310344828
S0_LIVE,2025-04-18,0.2168693977188316,50,0.8518518518518519
S0_LIVE,2025-04-25,0.17807503096604468,50,0.9230769230769231
S0_LIVE,2025-05-02,0.1487269814325258,50,0.8867924528301887
S0_LIVE,2025-05-09,0.13911340959580465,50,0.9230769230769231
S0_LIVE,2025-05-16,0.08930572467957211,50,0.7543859649122807
S0_LIVE,2025-05-23,0.10208429727843207,50,0.8867924528301887
S0_LIVE,2025-05-29,0.1310653233437594,50,0.8867924528301887
S0_LIVE,2025-06-06,0.12640280645836918,50,0.8518518518518519
S0_LIVE,2025-06-13,0.15232537868533713,50,0.6666666666666666
S0_LIVE,2025-06-20,0.16049329117881755,50,0.8518518518518519
S0_LIVE,2025-06-27,0.18743763537234204,50,0.8867924528301887
S0_LIVE,2025-07-04,0.18113924979492269,50,0.3698630136986301
S0_LIVE,2025-07-11,0.24917087732005275,50,0.5873015873015873
S0_LIVE,2025-07-18,0.21144823996984688,50,0.8867924528301887
S0_LIVE,2025-07-25,0.19546164687769585,50,0.9230769230769231
S0_LIVE,2025-07-31,0.18820252228244372,50,0.8867924528301887
S0_LIVE,2025-08-08,0.16459432832341672,50,0.9230769230769231
S0_LIVE,2025-08-15,0.0800268344540825,50,0.7241379310344828
S0_LIVE,2025-08-22,0.06517573890928928,50,0.9607843137254902
S0_LIVE,2025-08-29,-0.0032065521865507086,50,0.8518518518518519
S0_LIVE,2025-09-05,0.0064504465306403054,50,0.8867924528301887
S0_LIVE,2025-09-12,0.05633982776536585,50,0.6949152542372882
S0_LIVE,2025-09-19,0.03610373805134195,50,0.8867924528301887
S0_LIVE,2025-09-26,0.1190622208444081,50,0.9230769230769231
S0_LIVE,2025-10-03,0.15348392176825848,50,0.4492753623188406
S0_LIVE,2025-10-09,0.11231070036692202,50,0.8518518518518519
S0_LIVE,2025-10-17,0.1926912140773042,50,0.5384615384615384
S0_LIVE,2025-10-23,0.2455168781117795,50,0.9607843137254902
S0_LIVE,2025-10-31,0.2686509316900864,50,0.8867924528301887
S0_LIVE,2025-11-07,0.26161383326943044,50,0.9230769230769231
S0_LIVE,2025-11-14,0.200492914207662,50,0.5873015873015873
S0_LIVE,2025-11-21,0.39300000534856666,50,0.8867924528301887
S0_LIVE,2025-11-28,0.1804498980731141,50,0.8518518518518519
S0_LIVE,2025-12-05,0.22704028480756894,50,0.9230769230769231
S0_LIVE,2025-12-12,0.17511429803265774,50,0.7857142857142857
S0_LIVE,2025-12-19,0.188543226784019,50,0.8518518518518519
S0_LIVE,2025-12-26,0.13058791990264712,50,0.9230769230769231
S1_replace_SM,2020-01-03,-0.13933542837334756,50,
S1_replace_SM,2020-01-10,-0.06187058308156276,50,0.639344262295082
S1_replace_SM,2020-01-17,-0.09399410903445916,50,0.8867924528301887
S1_replace_SM,2020-01-20,-0.07926311930456605,50,0.9607843137254902
S1_replace_SM,2020-01-31,0.0019830285182682707,50,0.9230769230769231
S1_replace_SM,2020-02-07,0.014114685131132681,50,0.9230769230769231
S1_replace_SM,2020-02-14,-0.034047606424487106,50,0.7543859649122807
S1_replace_SM,2020-02-21,0.006495252194532035,50,1.0
S1_replace_SM,2020-02-27,0.0648710753568976,50,0.8867924528301887
S1_replace_SM,2020-03-06,0.07334538280626411,50,0.9230769230769231
S1_replace_SM,2020-03-13,0.2969979661433577,50,0.5873015873015873
S1_replace_SM,2020-03-20,0.5100140032769237,50,0.8181818181818182
S1_replace_SM,2020-03-27,0.43264557496782785,50,0.9230769230769231
S1_replace_SM,2020-04-01,0.4439242218488053,50,0.5625
S1_replace_SM,2020-04-10,0.4506942673696354,50,0.6666666666666666
S1_replace_SM,2020-04-17,0.3213950318156447,50,0.9230769230769231
S1_replace_SM,2020-04-24,0.3415718271618043,50,0.9230769230769231
S1_replace_SM,2020-04-30,0.20353183658615076,50,0.9607843137254902
