week,v_n,q_n,overlap_n,overlap_pct,v_ret,q_ret,dual_ret_naive,overlap_ids
2023-04-21,20,5,2,0.1,0.03864539456609768,0.015571666320063437,0.02710853044308056,"3293,6223"
2023-04-28,20,9,3,0.15,0.07233055302629712,0.07867563505171532,0.07550309403900622,"3034,3293,6223"
2023-05-05,20,7,3,0.15,0.07689798834350661,0.059303716469845544,0.06810085240667607,"3034,3293,6223"
2023-05-12,20,9,4,0.2,0.08547815812574762,0.1302958547698347,0.10788700644779117,"2412,3034,3293,3529"
2023-05-19,20,5,3,0.15,0.07712595882687291,0.06683885440677824,0.07198240661682558,"2412,3293,3529"
2023-05-26,20,6,4,0.2,0.03639539185336284,0.05452792405192364,0.04546165795264324,"2412,3034,3293,3529"
2023-06-02,20,6,4,0.2,0.052493079414868346,0.02534729966378002,0.03892018953932418,"2412,3034,3529,5269"
2023-06-09,20,2,1,0.05,0.005634441419221037,-0.020640630359351764,-0.0075030944700653635,2412
2023-06-16,20,3,2,0.1,0.003965318886867702,-0.09025117675981924,-0.04314292893647577,"2412,5269"
2023-06-21,20,4,3,0.15,0.020113345871779598,-0.08698503518386363,-0.03343584465604202,"2412,3034,5269"
2023-06-30,20,4,1,0.05,0.05720379736229333,0.016114414353915946,0.03665910585810464,6531
2023-07-07,20,3,1,0.05,0.03026181776190668,-0.005532197529020233,0.012364810116443224,6531
2023-07-14,20,2,1,0.05,-0.05510555556725296,-0.024706694271911633,-0.0399061249195823,6531
2023-07-21,20,2,1,0.05,-0.023229900416688515,-0.03911999570540958,-0.03117494806104905,3008
2023-07-28,20,3,0,0.0,-0.0686463482141955,-0.0864653480455655,-0.0775558481298805,
2023-08-04,20,3,0,0.0,0.025765548255932035,0.06515497515001974,0.04546026170297589,
2023-08-11,20,2,1,0.05,0.11444722102385962,0.18282523927685213,0.14863623015035587,6531
2023-08-18,20,2,1,0.05,0.16081011642854243,0.01747101801345896,0.0891405672210007,6531
2023-08-25,20,2,1,0.05,0.10815176956021513,0.02624922027957244,0.06720049491989379,6531
2023-09-01,20,3,1,0.05,0.06094585551954028,0.011613532396716142,0.03627969395812821,6531
