horizon,w_rvol,w_trigger,w_quality,w_trend,mean_ret,win_rate,sharpe,n_days
40d,60,40,0,0,4.174,73.5,1.294,869
60d,0,0,100,0,9.91,81.9,1.728,849
60d,0,0,90,10,10.237,82.1,1.777,849
60d,0,0,80,20,10.583,82.9,1.808,849
60d,0,0,70,30,10.53,82.4,1.764,849
60d,0,0,60,40,11.149,82.4,1.822,849
60d,0,0,50,50,11.426,83.2,1.857,849
60d,0,0,40,60,11.352,83.3,1.849,849
60d,0,10,90,0,10.103,82.9,1.771,849
60d,0,10,80,10,10.675,83.2,1.85,849
60d,0,10,70,20,10.672,82.1,1.808,849
60d,0,10,60,30,11.049,82.4,1.816,849
60d,0,10,50,40,11.213,82.4,1.824,849
60d,0,10,40,50,11.593,82.7,1.856,849
60d,0,10,30,60,11.621,83.2,1.853,849
60d,0,20,80,0,10.185,82.7,1.815,849
60d,0,20,70,10,10.382,82.4,1.804,849
60d,0,20,60,20,10.907,82.8,1.81,849
60d,0,20,50,30,11.285,82.8,1.818,849
60d,0,20,40,40,11.27,81.5,1.798,849
60d,0,20,30,50,11.366,82.4,1.799,849
60d,0,20,20,60,11.263,82.2,1.81,849
60d,0,30,70,0,10.075,82.2,1.794,849
60d,0,30,60,10,10.355,81.6,1.8,849
60d,0,30,50,20,10.695,80.7,1.796,849
60d,0,30,40,30,10.826,82.2,1.784,849
60d,0,30,30,40,11.058,82.3,1.785,849
60d,0,30,20,50,10.925,80.8,1.74,849
60d,0,30,10,60,10.471,80.0,1.661,849
60d,0,40,60,0,9.909,81.0,1.744,849
60d,0,40,50,10,10.297,80.9,1.748,849
60d,0,40,40,20,10.66,81.6,1.782,849
60d,0,40,30,30,10.675,81.3,1.752,849
60d,0,40,20,40,10.559,79.7,1.681,849
60d,0,40,10,50,10.292,78.8,1.612,849
60d,0,40,0,60,9.726,76.8,1.523,849
60d,0,50,50,0,9.913,81.3,1.755,849
60d,0,50,40,10,10.161,81.3,1.753,849
60d,0,50,30,20,10.082,80.8,1.699,849
60d,0,50,20,30,10.01,79.7,1.64,849
60d,0,50,10,40,9.976,78.9,1.58,849
60d,0,50,0,50,9.692,77.1,1.512,849
60d,0,60,40,0,9.766,80.7,1.735,849
60d,0,60,30,10,9.673,80.4,1.693,849
60d,0,60,20,20,9.662,79.9,1.649,849
60d,0,60,10,30,9.543,78.2,1.552,849
60d,0,60,0,40,9.37,76.8,1.487,849
60d,10,0,90,0,9.585,82.0,1.706,849
60d,10,0,80,10,9.836,82.2,1.741,849
60d,10,0,70,20,9.909,81.4,1.717,849
60d,10,0,60,30,10.241,81.9,1.737,849
60d,10,0,50,40,10.669,82.2,1.79,849
60d,10,0,40,50,10.988,82.9,1.837,849
60d,10,0,30,60,10.921,83.0,1.826,849
60d,10,10,80,0,9.748,82.3,1.748,849
60d,10,10,70,10,10.103,82.2,1.79,849
60d,10,10,60,20,10.47,82.1,1.771,849
60d,10,10,50,30,10.717,82.3,1.788,849
60d,10,10,40,40,11.039,82.3,1.819,849
60d,10,10,30,50,10.877,82.2,1.778,849
60d,10,10,20,60,10.462,81.6,1.736,849
60d,10,20,70,0,9.754,82.0,1.777,849
60d,10,20,60,10,9.947,81.7,1.78,849
60d,10,20,50,20,10.194,81.0,1.762,849
60d,10,20,40,30,10.408,81.4,1.749,849
