run,mt_mode,cap_label,cap,period,side,n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,mean_qm_top1_sec,mean_qm_top3_sec,qm_skip,value_skip
theme_primary__cap_30,theme_primary,cap_30,0.3,BEAR_2022,qm,51,0.98,17.22,16.15,1.005,-10.37,25.5,0.5399626517273576,0.67609710550887,0,0
theme_primary__cap_30,theme_primary,cap_30,0.3,BEAR_2022,dual,51,0.98,14.05,10.9,1.198,-7.89,29.4,0.5399626517273576,0.67609710550887,0,0
theme_primary__cap_30,theme_primary,cap_30,0.3,AI_ERA_2024_2025,value,103,1.98,3.73,10.85,0.252,-17.9,16.5,0.24837417167514247,0.40466944059177057,0,0
theme_primary__cap_30,theme_primary,cap_30,0.3,AI_ERA_2024_2025,qm,103,1.98,14.67,13.16,1.038,-7.77,43.7,0.24837417167514247,0.40466944059177057,0,0
theme_primary__cap_30,theme_primary,cap_30,0.3,AI_ERA_2024_2025,dual,103,1.98,9.42,8.78,0.959,-8.83,51.5,0.24837417167514247,0.40466944059177057,0,0
theme_primary__cap_20,theme_primary,cap_20,0.2,IS_2020_2022,value,155,2.98,24.21,11.02,2.106,-7.16,21.9,0.33571940604198663,0.4661239119303635,0,1
theme_primary__cap_20,theme_primary,cap_20,0.2,IS_2020_2022,qm,155,2.98,4.49,18.18,0.192,-23.64,33.5,0.33571940604198663,0.4661239119303635,0,1
theme_primary__cap_20,theme_primary,cap_20,0.2,IS_2020_2022,dual,155,2.98,14.44,11.75,1.144,-11.78,42.6,0.33571940604198663,0.4661239119303635,0,1
theme_primary__cap_20,theme_primary,cap_20,0.2,OOS_2023,value,51,0.98,5.1,3.4,1.203,-0.31,5.9,0.29822595704948646,0.569000933706816,0,0
theme_primary__cap_20,theme_primary,cap_20,0.2,OOS_2023,qm,51,0.98,10.98,18.94,0.527,-21.01,33.3,0.29822595704948646,0.569000933706816,0,0
theme_primary__cap_20,theme_primary,cap_20,0.2,OOS_2023,dual,51,0.98,8.45,10.1,0.738,-11.03,35.3,0.29822595704948646,0.569000933706816,0,0
theme_primary__cap_20,theme_primary,cap_20,0.2,OOS_2024,value,52,1.0,11.53,8.31,1.266,-3.2,19.2,0.21303418803418803,0.3698717948717949,0,0
theme_primary__cap_20,theme_primary,cap_20,0.2,OOS_2024,qm,52,1.0,8.49,10.35,0.724,-7.77,48.1,0.21303418803418803,0.3698717948717949,0,0
theme_primary__cap_20,theme_primary,cap_20,0.2,OOS_2024,dual,52,1.0,10.25,6.47,1.428,-3.94,59.6,0.21303418803418803,0.3698717948717949,0,0
