date,Dealer_self,Foreign_Dealer_Self,外資,投信,自營商,三大法人合計
2017-12-22,42000,0,-416000,51000,-86000,-409000
2017-12-25,-62000,0,265000,92000,166000,461000
2017-12-26,-172000,0,-362000,315419,-295000,-513581
2017-12-27,43000,0,310000,457000,35000,845000
2017-12-28,-10000,0,-347000,784000,344000,771000
2017-12-29,220000,0,-1039000,497000,-200000,-522000
2018-01-02,119000,0,1517000,85000,335000,2056000
2018-01-03,639000,0,-146000,833000,-171000,1155000
2018-01-04,506000,0,3037000,558000,134000,4235000
2018-01-05,153000,0,408784,298000,-675000,184784
2018-01-08,209000,0,685000,-477000,-224000,193000
2018-01-09,137000,0,119800,-461000,-105000,-309200
2018-01-10,37000,0,-270072,-617000,38000,-812072
2018-01-11,-671000,0,-109824,-220000,-12000,-1012824
2018-01-12,120000,0,-2252000,-1212000,138000,-3206000
2018-01-15,381000,0,-3529000,-59000,157000,-3050000
